Source,Target
joeyabaigar6727,-9bhyHg3d10
kylelevinson7506,-2GOtnGXwpY
aichujohnson8444,-9bhyHg3d10
yeety1203,-2GOtnGXwpY
piccadelly9360 (Reply to Comment ID: Ugx5wFoTxd2d_cGVrIl4AaABAg),-CgqgkQ-CO4
user-fl7xe4kl5d (Reply to Comment ID: Ugy2C4QktdOModb3ONl4AaABAg),-CgqgkQ-CO4
davidwoody5228,-2GOtnGXwpY
chourtout (Reply to Comment ID: UgyHs0AQ2RmIzjoZr5J4AaABAg),-CgqgkQ-CO4
simonburgess5968 (Reply to Comment ID: UgxXD8HtAuhayaGKWn14AaABAg),-9bhyHg3d10
joemaserati6639,-2GOtnGXwpY
johnoconnor8453,-9bhyHg3d10
leekmittens9343,-9bhyHg3d10
Bobfett1982,-9bhyHg3d10
Seadog63 (Reply to Comment ID: Ugyx8qfDMRUBnSrPztx4AaABAg),-2GOtnGXwpY
mydogbrian4814,-2GOtnGXwpY
edhigbee9937,-9bhyHg3d10
carlswainston7918,-9bhyHg3d10
jeanie6936 (Reply to Comment ID: UgwfWB_y-lVb5TMgdbx4AaABAg),-CgqgkQ-CO4
1220b,-CgqgkQ-CO4
billirvine8007,-9bhyHg3d10
Yes-es8it (Reply to Comment ID: Ugwdh-CurWLhPm6F9fd4AaABAg),-9bhyHg3d10
73chengosaro4 (Reply to Comment ID: UgzGOOSlqiXImhccpbx4AaABAg),-CgqgkQ-CO4
andrewmontgomery8428,-9bhyHg3d10
user-qm7hq6hz9x,-CgqgkQ-CO4
PrestonStewart (Reply to Comment ID: UgwjlyL4Xo9f0VnLLTp4AaABAg),-2GOtnGXwpY
ianstewart6021,-9bhyHg3d10
jtf2dan (Reply to Comment ID: UgzGOOSlqiXImhccpbx4AaABAg),-CgqgkQ-CO4
LehmannMr (Reply to Comment ID: UgzEB2NWuR2WASa4REB4AaABAg),-9bhyHg3d10
moisesperez4605,-2GOtnGXwpY
connorkeegan3905,-2GOtnGXwpY
genelarson6849 (Reply to Comment ID: UgzEB2NWuR2WASa4REB4AaABAg),-9bhyHg3d10
ardiii746,-CgqgkQ-CO4
jessetagle4512,-CgqgkQ-CO4
user-vs8og7og3z,-CgqgkQ-CO4
AnoNymInvestor,-CgqgkQ-CO4
libertarianbydefault (Reply to Comment ID: UgwNLjKO8wWhrgP3Qo14AaABAg),-9bhyHg3d10
leetorode3685,-CgqgkQ-CO4
unkownknown8531,-9bhyHg3d10
KomradeMatt,-2GOtnGXwpY
paulfaigl8329 (Reply to Comment ID: UgwxziA77YLAwuNz9sJ4AaABAg),-9bhyHg3d10
nycj3ahudson341,-CgqgkQ-CO4
teresaolszanka112 (Reply to Comment ID: Ugwdh-CurWLhPm6F9fd4AaABAg),-9bhyHg3d10
StephenGlencross-yg4nt,-9bhyHg3d10
Wildriff,-9bhyHg3d10
Hello_there_obi,-2GOtnGXwpY
aleksiklove2755 (Reply to Comment ID: UgzxVxbIMFXeO2C1C2x4AaABAg),-CgqgkQ-CO4
andyhughes1776,-9bhyHg3d10
joelgoetz3691,-2GOtnGXwpY
dharmawangsa9592,-CgqgkQ-CO4
paulfaigl8329 (Reply to Comment ID: UgwUq91cWCyy84jIa1d4AaABAg),-9bhyHg3d10
zbyszanna (Reply to Comment ID: UgxNla-xm69N4GWlirx4AaABAg),-2GOtnGXwpY
allanjstark,-9bhyHg3d10
iriemon1796,-9bhyHg3d10
rayhogan796,-2GOtnGXwpY
sandybrown4957 (Reply to Comment ID: Ugz80j5ckF8OrnyQQ6d4AaABAg),-CgqgkQ-CO4
MrArtist7777 (Reply to Comment ID: UgwglTwZUi4JVddddg54AaABAg),-9bhyHg3d10
henrikhansborg7491,-2GOtnGXwpY
RobertoEarnywho,-9bhyHg3d10
UFO_channel (Reply to Comment ID: Ugx_ck5JaBO6o_X1wDd4AaABAg),-CgqgkQ-CO4
emmanuelubaha5815,-9bhyHg3d10
Brian-om2hh (Reply to Comment ID: Ugz1kKABM0xANCRTkHJ4AaABAg),-CgqgkQ-CO4
garybeck8836,-2GOtnGXwpY
user-ry9sz3wb3r,-9bhyHg3d10
bryantimmins339,-CgqgkQ-CO4
johndhoe1854,-9bhyHg3d10
lucienleech-larkin7544,-9bhyHg3d10
_.R.F.X.L._,-9bhyHg3d10
saturn_in_blue,-9bhyHg3d10
StrongRespect (Reply to Comment ID: UgwNLjKO8wWhrgP3Qo14AaABAg),-9bhyHg3d10
hypnose4209,-2GOtnGXwpY
piccadelly9360 (Reply to Comment ID: UgwaP7uzHX6TYasHzZh4AaABAg),-CgqgkQ-CO4
JD-kg3mx,-2GOtnGXwpY
jamesdevito4286,-9bhyHg3d10
willymueller3278 (Reply to Comment ID: UgzEB2NWuR2WASa4REB4AaABAg),-9bhyHg3d10
alpinestar6125 (Reply to Comment ID: UgxrCqhweXYBn_ic4OF4AaABAg),-9bhyHg3d10
user-gv7wj9rs1o,-9bhyHg3d10
Mibas_ (Reply to Comment ID: Ugz1kKABM0xANCRTkHJ4AaABAg),-CgqgkQ-CO4
christinestranz2775,-9bhyHg3d10
aggressivelancer,-2GOtnGXwpY
MrScotia,-9bhyHg3d10
Dark_Bandon,-CgqgkQ-CO4
ivicastanonkovski8338 (Reply to Comment ID: UgxuSVRSNXucvoQeN614AaABAg),-9bhyHg3d10
joehenderson8967,-2GOtnGXwpY
pakde8002,-2GOtnGXwpY
pipopoikapelaa5468 (Reply to Comment ID: Ugyv_eO_XS8dYIhTF0l4AaABAg),-2GOtnGXwpY
KuvDabGib,-CgqgkQ-CO4
YaBoiAlex (Reply to Comment ID: Ugwxs3EPYX6XK0jyJIt4AaABAg),-9bhyHg3d10
mariano7699,-2GOtnGXwpY
jamesrose1460,-2GOtnGXwpY
55xr28,-9bhyHg3d10
freedomfirst5557,-CgqgkQ-CO4
sarathdassanaike2807,-9bhyHg3d10
valentyn.kostiuk,-2GOtnGXwpY
Arno56-ci1pp (Reply to Comment ID: Ugy2C4QktdOModb3ONl4AaABAg),-CgqgkQ-CO4
user-mi2qw3ns4u,-9bhyHg3d10
tommorrison8864,-9bhyHg3d10
absoluteit1614 (Reply to Comment ID: UgxrVp8ConEUa4sJgNZ4AaABAg),-CgqgkQ-CO4
2003AudiS3 (Reply to Comment ID: UgyVSywgom1LVzYsoUp4AaABAg),-CgqgkQ-CO4
nourredineboucham9094 (Reply to Comment ID: Ugw3o-62LTDCkAqjZ6J4AaABAg),-9bhyHg3d10
joesaba386 (Reply to Comment ID: Ugy1jeG7_-HQJDfyZU94AaABAg),-9bhyHg3d10
MrClassiccarenthusia,-2GOtnGXwpY
