Source,Target,Weight
rajeshdivekar1199,U,1
manoharmanohar2625,U,1
roywalker2099,U,1
rajpatidevi1972,U,1
Joel-np5bx,U,1
alanebrahim6073,U,1
1103Leona,U,1
user-ex5mv1gx7z,U,1
user-vp8cr4xu6r,🤡🤡🤡,1
mariajosebouzobouzo54,🤡🤡🤡,1
AK88.,🤡🤡🤡,1
marktsvetanov6038,🤡🤡🤡,1
vladimirstojanovic1389,🤡🤡🤡,1
user-ct4dw4tn7b,🤡🤡🤡,1
_FreeStylebs,🤡🤡🤡,1
user-ct9uu7ux2b,🤡🤡🤡,1
kulakwasd,🤡🤡🤡,1
OUKB,🤡🤡🤡,1
Yy12342,🤡🤡🤡,1
user-yi5hj1vt6h,🤡🤡🤡,1
DaniilDimitrov,🤡🤡🤡,1
mightytaiger3000,🤡🤡🤡,1
joseaguilarjr660,🤡🤡🤡,1
user-xo6ks7ck9e,🤡🤡🤡,1
eienastarte1902,🤡🤡🤡,1
EivinSukoi,🤡🤡🤡,1
baltar72,🤡🤡🤡,1
danil1784,🤡🤡🤡,1
MaksimVazs,🤡🤡🤡,1
chp2303,🤡🤡🤡,1
minrima1394,🤡🤡🤡,1
generalpierogi7781,🤡🤡🤡,1
martinandreev2722,🤡🤡🤡,1
LeoWhite95,🤡🤡🤡,1
morge...,🤡🤡🤡,1
user-xb3oe2lw1r,🤡🤡🤡,1
donprova935,Bullshit,1
koenignero,Bullshit,1
dianahenderson8807,Bullshit,1
akhbarkhanmohamad6705,Bullshit,1
Bill-xx2yh,Bullshit,1
jbond4266,Bullshit,1
theylivewesleep9607,Bullshit,1
karlosgnwp3842,Bullshit,1
nicolasbrown8541,Bullshit,1
Giyu123,Bullshit,1
raynolte8623,Bullshit,1
pennymurphy-zi1yi,Bullshit,1
paulweeks1219,Bullshit,1
norpera,Bullshit,1
terryandrews7271,Bullshit,1
matthewarmstrong1022,Bullshit,1
jareckvilla7940,Bullshit,1
chelleroberson3222,Bullshit,1
americanexploration1107,Bullshit,1
joshuaberlingeri6201,Bullshit,1
MultiSpeedyman,Bullshit,1
artemhaidamak6095,Bullshit,1
thomasbrandt1299,Bullshit,1
charlesaugustine5666,Bullshit,1
andisteslonoks2011,Bullshit,1
bulentunal3832,Bullshit,1
jakenelson3326,Bullshit,1
peckerwood780,Bullshit,1
oldhick9047,Bullshit,1
shannonjanes2434,Bullshit,1
linnayi6864,Bullshit,1
jeroendevaal685,Bullshit,1
user-ut3ny5fc4r,Bullshit,1
