Source,Target
dwaynemadsen964,-2GOtnGXwpY
55tah,-2GOtnGXwpY
reyr9571,-9bhyHg3d10
user-oc4zl8mu4m,-CgqgkQ-CO4
JesusChrist-mp7ew (Reply to Comment ID: Ugzkp9UBdaXkGbt-sD14AaABAg),-e7Qu8hSC4w
ronaldgrove3283 (Reply to Comment ID: UgwYDNAp9vLkeBv7r914AaABAg),-9bhyHg3d10
tombrazy12hunnit (Reply to Comment ID: UgwnzOFNCiaaqS_UN0V4AaABAg),-e7Qu8hSC4w
lilacer6841 (Reply to Comment ID: UgyZAeiiT5cbbWEo7V54AaABAg),-KzHIabNuX8
thinkerly1 (Reply to Comment ID: UgzfP5Vue7C9AxxvoU54AaABAg),-KzHIabNuX8
RWZiggy (Reply to Comment ID: Ugws_B8yx0rjZCYgHBx4AaABAg),-9bhyHg3d10
dardaras (Reply to Comment ID: UgxEZW4dUr3vgKmqD7B4AaABAg),-CgqgkQ-CO4
thunderstruck1078,-CgqgkQ-CO4
topweddingsa4059,-e7Qu8hSC4w
evdm7482,-e7Qu8hSC4w
williamhawks2372,-9bhyHg3d10
MrNaranhito (Reply to Comment ID: UgzCzoH8mQEjBMuyauJ4AaABAg),-KzHIabNuX8
Crashed131963 (Reply to Comment ID: Ugzo3973ZNamcXRGdmZ4AaABAg),-e7Qu8hSC4w
mouseblackcat5263,-2GOtnGXwpY
user-tt6il2up4o,-KzHIabNuX8
Hollywood041,-e7Qu8hSC4w
felixf.3392 (Reply to Comment ID: UgzHQvqAmtEhTvHxehR4AaABAg),-KzHIabNuX8
jemacofra (Reply to Comment ID: Ugy3YhSjT6a8ZZDkH7J4AaABAg),-CgqgkQ-CO4
maximusaurelius610,-2GOtnGXwpY
sania3pr,-CgqgkQ-CO4
user-bb1dw2ke4u,-9bhyHg3d10
doomslayer1984,-9bhyHg3d10
repure1999,-2GOtnGXwpY
paulfaigl8329 (Reply to Comment ID: Ugwps38dRKMvqsVV6Ed4AaABAg),-9bhyHg3d10
solomontembo8774,-9bhyHg3d10
user-ds5ce2bu9j,-9bhyHg3d10
marisabenson1222 (Reply to Comment ID: UgwFpdCDemsD1Dd1uvh4AaABAg),-KzHIabNuX8
zv4822,-9bhyHg3d10
piotrwojdelko1150 (Reply to Comment ID: Ugy8nk1VR-_ej0TdNxV4AaABAg),-e7Qu8hSC4w
wolfgangdopke5290,-e7Qu8hSC4w
MANUPETAIN2218,-KzHIabNuX8
BotschafterZissel,-e7Qu8hSC4w
dominicpepe9341,-e7Qu8hSC4w
khiem1939,-9bhyHg3d10
Al_vi_na123,-e7Qu8hSC4w
icemanzw (Reply to Comment ID: UgwEx_Cb_pR6gGxuoPh4AaABAg),-e7Qu8hSC4w
darknesswerewolf470,-e7Qu8hSC4w
d1tto232,-e7Qu8hSC4w
LEJForUSA-jc4ql,-e7Qu8hSC4w
amelielopez8847,-9bhyHg3d10
kashleeqhuithorma2656,-9bhyHg3d10
16252 (Reply to Comment ID: Ugzs1kaQn1sXXXgZWc94AaABAg),-e7Qu8hSC4w
anticorruptionagenda5106 (Reply to Comment ID: UgyvXj9tju6YVjMocid4AaABAg),-9bhyHg3d10
she825 (Reply to Comment ID: UgyzcaCVEC9Ck7BmmLB4AaABAg),-e7Qu8hSC4w
genelarson6849,-9bhyHg3d10
jansenart0 (Reply to Comment ID: UgzEeZ_6XAygaRsVhZZ4AaABAg),-9bhyHg3d10
hustladen1,-e7Qu8hSC4w
69kiwijon (Reply to Comment ID: UgxrcV-XLKuhAtoqDhN4AaABAg),-e7Qu8hSC4w
frogfoot1653,-e7Qu8hSC4w
korelly (Reply to Comment ID: UgxD4oXcybEu7VZfEAx4AaABAg),-9bhyHg3d10
ctherats6023,-9bhyHg3d10
absoluteit1614 (Reply to Comment ID: UgxrVp8ConEUa4sJgNZ4AaABAg),-CgqgkQ-CO4
mitchasris3267 (Reply to Comment ID: Ugy60owjWzZJLZMuZyR4AaABAg),-KzHIabNuX8
pathfinder3754,-9bhyHg3d10
warukraine9650 (Reply to Comment ID: Ugy-t49QUCH0VxCW2bF4AaABAg),-e7Qu8hSC4w
